Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
Central and South America,Brazil,"Calendar Year (Jan - Dec), 2022",12301.0,26.49
Central and South America,Mexico,"Calendar Year (Jan - Dec), 2022",8915.0,19.25
Central and South America,Others,"Calendar Year (Jan - Dec), 2022",20221.0,29.34
North America,Canada,"Calendar Year (Jan - Dec), 2021",80437.0,52.32
North America,Others,"Calendar Year (Jan - Dec), 2021",2.0,64.0
North America,United States Of America,"Calendar Year (Jan - Dec), 2021",429860.0,32.48
Western Europe,Austria,"Calendar Year (Jan - Dec), 2021",4411.0,29.78
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2021",7382.0,31.32
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2021",2025.0,31.87
Western Europe,Finland,"Calendar Year (Jan - Dec), 2021",1329.0,32.8
Western Europe,France,"Calendar Year (Jan - Dec), 2021",30374.0,29.88
Western Europe,Germany,"Calendar Year (Jan - Dec), 2021",33772.0,24.8
Western Europe,Greece,"Calendar Year (Jan - Dec), 2021",1144.0,20.53
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2021",7600.0,34.69
Western Europe,Italy,"Calendar Year (Jan - Dec), 2021",13659.0,39.36
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2021",15631.0,19.92
Western Europe,Norway,"Calendar Year (Jan - Dec), 2021",2790.0,32.65
Western Europe,Others,"Calendar Year (Jan - Dec), 2021",1767.0,26.48
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2021",32064.0,38.58
Western Europe,Spain,"Calendar Year (Jan - Dec), 2021",6982.0,38.01
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2021",5579.0,37.45
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2021",4198.0,25.83
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2021",164143.0,30.44
Eastern Europe,Czech,"Calendar Year (Jan - Dec), 2021",983.0,39.79
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2021",653.0,33.04
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2021",2378.0,16.2
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2021",13875.0,25.16
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2021",2461.0,24.03
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2021",17567.0,27.45
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2021",5197.0,21.58
Africa,Egypt,"Calendar Year (Jan - Dec), 2021",1739.0,26.07
Africa,Kenya,"Calendar Year (Jan - Dec), 2021",13373.0,33.92
Africa,Mauritius,"Calendar Year (Jan - Dec), 2021",2118.0,47.07
Africa,Nigeria,"Calendar Year (Jan - Dec), 2021",5516.0,53.53
Africa,Others,"Calendar Year (Jan - Dec), 2021",29087.0,42.93
Africa,South Africa,"Calendar Year (Jan - Dec), 2021",3820.0,38.83
Africa,Sudan,"Calendar Year (Jan - Dec), 2021",6781.0,49.03
Africa,Tanzania,"Calendar Year (Jan - Dec), 2021",6480.0,38.63
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2021",36451.0,22.92
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2021",240554.0,25.45
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2021",6081.0,31.77
South Asia,Iran,"Calendar Year (Jan - Dec), 2021",2369.0,65.4
